game_id,strategy,total_turns,final_score,max_expression,min_expression,negative_count,negative_rate,phase0_turns,phase1_turns,phase2_turns,phase3_turns,end_board_occupancy
313,RandomStrategy,12,43,43,43,0,0.0000,12,0,0,0,0.5062
314,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6914
315,RandomStrategy,17,1055,661,394,0,0.0000,17,0,0,0,0.5679
316,RandomStrategy,16,7,7,7,0,0.0000,16,0,0,0,0.5309
317,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.6914
318,RandomStrategy,10,0,0,0,0,0.0000,10,0,0,0,0.4568
319,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6667
320,RandomStrategy,17,1722157,1722157,1722157,0,0.0000,17,0,0,0,0.6667
321,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5679
322,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6049
323,RandomStrategy,15,1386,1386,1386,0,0.0000,15,0,0,0,0.6173
324,RandomStrategy,19,132,132,132,0,0.0000,19,0,0,0,0.6543
325,RandomStrategy,18,-134449,-134449,-134449,1,1.0000,18,0,0,0,0.6790
326,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5926
327,RandomStrategy,15,86,86,86,0,0.0000,15,0,0,0,0.5556
328,RandomStrategy,11,-11,-11,-11,1,1.0000,11,0,0,0,0.3704
329,RandomStrategy,17,2392,2392,2392,0,0.0000,17,0,0,0,0.6543
330,RandomStrategy,9,0,0,0,0,0.0000,9,0,0,0,0.3704
331,RandomStrategy,9,0,0,0,0,0.0000,9,0,0,0,0.4568
332,RandomStrategy,19,855,858,-3,1,0.5000,19,0,0,0,0.6296
333,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6296
334,RandomStrategy,19,1075,541,91,0,0.0000,15,4,0,0,0.5926
335,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6049
336,RandomStrategy,18,52,52,52,0,0.0000,18,0,0,0,0.6296
337,RandomStrategy,16,4225,4225,4225,0,0.0000,16,0,0,0,0.6296
338,RandomStrategy,16,-335,-335,-335,1,1.0000,16,0,0,0,0.6296
339,RandomStrategy,25,202755,186116,104,0,0.0000,21,4,0,0,0.6173
340,RandomStrategy,15,443,443,443,0,0.0000,15,0,0,0,0.5432
341,RandomStrategy,17,0,0,0,0,0.0000,17,0,0,0,0.6296
342,RandomStrategy,22,9514,5195,160,0,0.0000,22,0,0,0,0.7160
343,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6049
344,RandomStrategy,18,644,644,644,0,0.0000,18,0,0,0,0.7160
345,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6543
346,RandomStrategy,17,-1051,368,-1419,1,0.5000,17,0,0,0,0.6296
347,RandomStrategy,17,154,154,154,0,0.0000,17,0,0,0,0.6173
348,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.5309
349,RandomStrategy,13,6621,6621,6621,0,0.0000,13,0,0,0,0.6296
350,RandomStrategy,19,26377,26277,45,0,0.0000,19,0,0,0,0.5556
351,RandomStrategy,11,0,0,0,0,0.0000,11,0,0,0,0.5556
352,RandomStrategy,14,0,0,0,0,0.0000,14,0,0,0,0.6296
353,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.5432
354,RandomStrategy,18,103918,97434,6484,0,0.0000,18,0,0,0,0.6173
355,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.6543
356,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.5679
357,RandomStrategy,16,0,0,0,0,0.0000,16,0,0,0,0.6667
358,RandomStrategy,19,32,32,32,0,0.0000,19,0,0,0,0.6790
359,RandomStrategy,13,0,0,0,0,0.0000,13,0,0,0,0.6049
360,RandomStrategy,12,0,0,0,0,0.0000,12,0,0,0,0.6049
361,RandomStrategy,13,-607,-607,-607,1,1.0000,13,0,0,0,0.4568
362,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6049
363,RandomStrategy,14,268,268,268,0,0.0000,14,0,0,0,0.5432
364,RandomStrategy,19,4084,3936,4,0,0.0000,19,0,0,0,0.6049
365,RandomStrategy,15,0,0,0,0,0.0000,15,0,0,0,0.6543
366,RandomStrategy,20,464160,464160,464160,0,0.0000,20,0,0,0,0.6543
